Date/Time,Active Energy (kcal),Source
2023-09-12 12:33:00,0.316,Lesley’s Apple Watch
2023-09-12 12:34:00,0.226,Lesley’s Apple Watch
2023-09-12 12:35:00,0.183,Lesley’s Apple Watch
2023-09-12 12:36:00,0.255,Lesley’s Apple Watch
2023-09-12 12:37:00,0.293,Lesley’s Apple Watch
2023-09-12 12:38:00,0.258,Lesley’s Apple Watch
2023-09-12 12:39:00,0.257,Lesley’s Apple Watch
2023-09-12 12:40:00,0.09,Lesley’s Apple Watch
2023-09-12 12:41:00,0.115,Lesley’s Apple Watch
2023-09-12 12:42:00,0.117,Lesley’s Apple Watch
2023-09-12 12:43:00,0.766,Lesley’s Apple Watch
2023-09-12 12:44:00,0.149,Lesley’s Apple Watch
2023-09-12 12:45:00,0.395,Lesley’s Apple Watch
2023-09-12 12:46:00,0.233,Lesley’s Apple Watch
2023-09-12 12:47:00,0.557,Lesley’s Apple Watch
2023-09-12 12:48:00,0.658,Lesley’s Apple Watch
2023-09-12 12:49:00,1.42,Lesley’s Apple Watch
2023-09-12 12:50:00,0.128,Lesley’s Apple Watch
2023-09-12 12:51:00,0.306,Lesley’s Apple Watch
2023-09-12 12:52:00,0.092,Lesley’s Apple Watch
2023-09-12 12:53:00,0.195,Lesley’s Apple Watch
2023-09-12 12:54:00,0.271,Lesley’s Apple Watch
2023-09-12 12:55:00,0.063,Lesley’s Apple Watch
2023-09-12 12:56:00,0.238,Lesley’s Apple Watch
2023-09-12 12:57:00,0.242,Lesley’s Apple Watch
2023-09-12 12:58:00,0.282,Lesley’s Apple Watch
2023-09-12 12:59:00,0.22,Lesley’s Apple Watch
2023-09-12 13:00:00,0.303,Lesley’s Apple Watch
2023-09-12 13:01:00,0.177,Lesley’s Apple Watch
2023-09-12 13:03:00,0.246,Lesley’s Apple Watch
2023-09-12 13:04:00,0.282,Lesley’s Apple Watch
2023-09-12 13:05:00,0.315,Lesley’s Apple Watch
2023-09-12 13:06:00,0.073,Lesley’s Apple Watch
2023-09-12 13:07:00,0.222,Lesley’s Apple Watch
2023-09-12 13:08:00,0.218,Lesley’s Apple Watch
2023-09-12 13:09:00,0.139,Lesley’s Apple Watch
2023-09-12 13:10:00,0.346,Lesley’s Apple Watch
2023-09-12 13:11:00,0.377,Lesley’s Apple Watch
2023-09-12 13:12:00,0.187,Lesley’s Apple Watch
2023-09-12 13:13:00,0.211,Lesley’s Apple Watch
2023-09-12 13:14:00,0.187,Lesley’s Apple Watch
2023-09-12 13:15:00,0.025,Lesley’s Apple Watch
2023-09-12 13:17:00,0.074,Lesley’s Apple Watch
2023-09-12 13:18:00,0.072,Lesley’s Apple Watch
2023-09-12 13:19:00,0.121,Lesley’s Apple Watch
2023-09-12 13:22:00,0.099,Lesley’s Apple Watch
2023-09-12 13:23:00,0.26,Lesley’s Apple Watch
2023-09-12 13:24:00,0.771,Lesley’s Apple Watch
2023-09-12 13:25:00,0.345,Lesley’s Apple Watch
2023-09-12 13:26:00,0.121,Lesley’s Apple Watch
2023-09-12 13:27:00,0.089,Lesley’s Apple Watch
2023-09-12 13:28:00,0.118,Lesley’s Apple Watch
2023-09-12 13:29:00,0.166,Lesley’s Apple Watch
2023-09-12 13:30:00,0.189,Lesley’s Apple Watch
2023-09-12 13:31:00,0.066,Lesley’s Apple Watch
2023-09-12 13:32:00,0.008,Lesley’s Apple Watch
2023-09-12 13:33:00,0.234,Lesley’s Apple Watch
2023-09-12 13:34:00,0.205,Lesley’s Apple Watch
2023-09-12 13:36:00,0.29,Lesley’s Apple Watch
2023-09-12 13:37:00,0.101,Lesley’s Apple Watch
2023-09-12 13:38:00,0.307,Lesley’s Apple Watch
2023-09-12 13:39:00,0.082,Lesley’s Apple Watch
2023-09-12 13:42:00,0.184,Lesley’s Apple Watch
2023-09-12 13:43:00,0.051,Lesley’s Apple Watch
2023-09-12 13:44:00,0.143,Lesley’s Apple Watch
2023-09-12 13:45:00,0.269,Lesley’s Apple Watch
2023-09-12 13:46:00,0.122,Lesley’s Apple Watch
2023-09-12 13:47:00,1.13,Lesley’s Apple Watch
2023-09-12 13:48:00,0.031,Lesley’s Apple Watch
2023-09-12 13:49:00,0.021,Lesley’s Apple Watch
2023-09-12 13:50:00,1.24,Lesley’s Apple Watch
2023-09-12 13:51:00,0.31,Lesley’s Apple Watch
2023-09-12 13:52:00,0.23,Lesley’s Apple Watch
2023-09-12 13:53:00,0.438,Lesley’s Apple Watch
2023-09-12 13:54:00,0.246,Lesley’s Apple Watch
2023-09-12 13:55:00,0.172,Lesley’s Apple Watch
2023-09-12 13:56:00,0.374,Lesley’s Apple Watch
2023-09-12 13:57:00,0.296,Lesley’s Apple Watch
2023-09-12 13:58:00,0.266,Lesley’s Apple Watch
2023-09-12 13:59:00,0.271,Lesley’s Apple Watch
2023-09-12 14:00:00,0.101,Lesley’s Apple Watch
2023-09-12 14:01:00,0.361,Lesley’s Apple Watch
2023-09-12 14:02:00,0.254,Lesley’s Apple Watch
2023-09-12 14:03:00,0.245,Lesley’s Apple Watch
2023-09-12 14:04:00,0.192,Lesley’s Apple Watch
2023-09-12 14:05:00,0.213,Lesley’s Apple Watch
2023-09-12 14:06:00,0.19,Lesley’s Apple Watch
2023-09-12 14:07:00,0.324,Lesley’s Apple Watch
2023-09-12 14:08:00,0.362,Lesley’s Apple Watch
2023-09-12 14:09:00,0.286,Lesley’s Apple Watch
2023-09-12 14:10:00,0.15,Lesley’s Apple Watch
2023-09-12 14:11:00,0.299,Lesley’s Apple Watch
